City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,st. john's,47.5649,-52.7093,-0.68,90,40,1.34,CA,1702249691
203,utrik,11.2278,169.8474,27.32,77,63,9.53,MH,1702249746
204,parsabad,39.6482,47.9174,11.33,58,3,2.09,IR,1702249746
205,manta,-0.95,-80.7333,25.97,75,45,5.32,EC,1702249746
206,olyokminsk,60.3736,120.4264,-27.04,90,100,3.16,RU,1702249747
207,tweed heads,-28.1817,153.547,28.31,59,75,4.63,AU,1702249747
208,tura,25.5198,90.2201,13.81,56,0,1.75,IN,1702249747
209,hargeysa,9.56,44.065,14.57,86,4,3.96,SO,1702249747
210,khilchipur,24.0333,76.5667,15.83,53,0,2.32,IN,1702249580
211,kruisfontein,-34.0033,24.7314,13.27,92,3,0.89,ZA,1702249747
212,tindouf,27.6711,-8.1474,17.31,27,96,4.4,DZ,1702249747
213,fauske,67.2588,15.3918,-2.98,82,95,4.02,NO,1702249748
214,akureyri,65.6835,-18.0878,-8.49,80,50,2.51,IS,1702249748
215,buzuluk,52.7807,52.2635,-16.69,92,25,1.79,RU,1702249748
216,gretna,29.9147,-90.054,14.44,47,20,9.77,US,1702249748
217,phalodi,27.1333,72.3667,16.46,26,7,0.51,IN,1702249748
218,weining,26.85,104.2333,5.22,92,37,1.63,CN,1702249748
219,kathor,21.3,72.9333,20.7,52,2,2.92,IN,1702249749
220,barra,-11.0894,-43.1417,28.03,52,57,1.4,BR,1702249749
221,jamestown,42.097,-79.2353,4.77,79,100,3.09,US,1702249749
222,carlos chagas,-17.7031,-40.7664,23.65,80,61,5.57,BR,1702249749
223,ilam,26.9167,87.9167,10.37,80,25,2.16,NP,1702249749
224,selkirk,50.1436,-96.8845,-7.92,96,34,2.09,CA,1702249749
225,'ain deheb,34.8422,1.547,10.85,61,7,3.38,DZ,1702249750
226,linda,39.1277,-121.5508,18.23,52,0,0.0,US,1702249566
227,suva,-18.1416,178.4415,26.71,57,40,4.63,FJ,1702249750
228,medina,24.4686,39.6142,21.24,17,0,3.6,SA,1702249750
229,kolonia town,6.964,158.206,30.06,70,100,2.57,FM,1702249750
230,la ronge,55.1001,-105.2842,-4.5,76,92,4.14,CA,1702249750
231,sinjai,-5.1241,120.253,26.14,80,100,1.3,ID,1702249750
232,crane,31.3974,-102.3501,11.83,20,2,4.06,US,1702249751
233,crookston,47.7741,-96.6081,-5.51,100,100,3.09,US,1702249751
234,tobruk,32.0836,23.9764,15.15,64,91,5.94,LY,1702249751
235,alice springs,-23.7,133.8833,14.75,55,75,7.72,AU,1702249751
236,broome,42.2506,-75.833,6.67,96,100,4.12,US,1702249751
237,hermanus,-34.4187,19.2345,16.55,80,0,4.06,ZA,1702249751
238,arno,60.1167,18.6333,0.44,85,100,5.73,SE,1702249752
239,cromer,52.9312,1.2989,9.82,81,52,10.73,GB,1702249752
240,sinop,41.7711,34.8709,6.22,81,87,3.08,TR,1702249752
241,tsiombe,-25.3,45.4833,23.94,92,48,1.02,MG,1702249752
242,qaqortoq,60.7167,-46.0333,-9.61,75,79,2.34,GL,1702249752
243,konarka,19.9,86.1167,16.22,61,0,2.63,IN,1702249752
244,taybad,34.74,60.7756,10.51,41,0,2.23,IR,1702249752
245,chernomorskoye,45.5039,32.6997,6.67,87,100,1.42,UA,1702249753
246,abong mbang,3.9833,13.1833,21.86,82,100,0.64,CM,1702249753
247,kitimat,54.0524,-128.6534,2.05,31,100,0.45,CA,1702249753
248,balatonfured,46.9619,17.8719,1.57,94,35,2.63,HU,1702249753
249,igbeti,8.75,4.1333,24.84,18,6,1.39,NG,1702249753
250,mejit,10.2753,170.8646,27.51,74,97,9.51,MH,1702249754
251,quiberon,47.4841,-3.1196,14.55,93,100,3.13,FR,1702249754
252,biltine,14.5333,20.9167,20.08,18,76,2.26,TD,1702249754
253,ondjiva,-17.0667,15.7333,24.86,30,40,3.02,AO,1702249754
254,vrnograc,45.1636,15.9536,1.38,88,4,2.14,BA,1702249755
255,marquette,46.5333,-87.6335,-3.15,83,89,2.68,US,1702249755
256,dhidhdhoo,6.8833,73.1,28.45,78,96,5.2,MV,1702249755
257,nova sintra,14.8667,-24.7167,23.03,74,100,3.55,CV,1702249755
258,kingston,17.997,-76.7936,28.53,75,20,9.26,JM,1702249633
259,tazovsky,67.4667,78.7,-26.09,96,100,4.89,RU,1702249755
260,freetown,8.484,-13.2299,26.68,77,83,3.0,SL,1702249756
261,sinabang,2.4803,96.3801,25.26,89,100,1.12,ID,1702249756
262,hirara,24.8,125.2833,24.21,77,36,4.88,JP,1702249756
263,kikwit,-5.041,18.8162,21.45,96,100,0.58,CD,1702249756
264,yunyang,33.4474,112.7142,-1.16,92,97,5.25,CN,1702249757
265,darhan,49.4867,105.9228,-26.04,97,100,0.39,MN,1702249757
266,zuunmod,47.7069,106.9528,-22.43,99,100,1.56,MN,1702249757
267,aflou,34.1128,2.1023,9.47,47,12,2.54,DZ,1702249757
268,ocean shores,46.9737,-124.1563,11.08,98,100,3.09,US,1702249757
269,talnakh,69.4865,88.3972,-26.0,99,100,4.17,RU,1702249758
270,mar del plata,-38.0023,-57.5575,21.02,89,2,0.45,AR,1702249649
271,castillos,-34.1667,-53.8333,16.37,93,10,3.04,UY,1702249758
272,northam,51.0333,-4.2167,12.03,84,46,14.11,GB,1702249759
273,kupang,-10.1667,123.5833,26.32,100,75,1.03,ID,1702249759
274,isangel,-19.55,169.2667,26.33,57,100,5.47,VU,1702249759
275,oamaru,-45.0784,170.9801,16.39,59,7,3.09,NZ,1702249759
276,kurchum,48.5722,83.6542,-14.71,86,94,1.98,KZ,1702249759
277,golyshmanovo,56.3979,68.3728,-32.14,99,98,3.81,RU,1702249759
278,sandnessjoen,66.0217,12.6316,0.06,59,40,0.51,NO,1702249760
279,flying fish cove,-10.4217,105.6791,24.82,88,75,3.09,CX,1702249760
280,amboise,47.4125,0.9827,13.48,92,100,5.66,FR,1702249760
281,atherton,53.5237,-2.4935,10.14,95,100,2.24,GB,1702249760
282,effium,6.6292,8.0593,27.04,44,8,1.39,NG,1702249760
283,sur,22.5667,59.5289,22.3,54,6,0.96,OM,1702249622
284,shijiazhuang,38.0414,114.4786,-3.46,93,100,1.0,CN,1702249761
285,college,64.8569,-147.8028,-24.75,69,75,1.54,US,1702249761
286,toliara,-23.35,43.6667,25.19,75,4,2.54,MG,1702249761
287,dien bien phu,21.3833,103.0167,19.12,99,41,0.44,VN,1702249761
288,sarupathar,26.1984,93.8094,15.13,97,2,0.34,IN,1702249638
289,kyshtovka,56.555,76.6271,-29.81,97,89,2.68,RU,1702249761
290,tumayr,25.7039,45.868,17.46,23,100,1.98,SA,1702249761
291,santa ana de yacuma,-13.75,-65.4333,28.39,69,80,3.01,BO,1702249762
292,sidney,-33.8679,151.2073,27.95,72,40,2.57,AU,1702249466
293,ewo,-0.8725,14.8206,24.25,87,100,0.97,CG,1702249762
294,srivardhan,18.0333,73.0167,23.71,69,69,2.27,IN,1702249762
295,sydney mines,46.2367,-60.2177,6.01,80,75,4.12,CA,1702249598
296,lakatoro,-16.0999,167.4164,26.99,61,100,6.88,VU,1702249762
297,moissala,8.3404,17.7663,23.16,23,45,2.16,TD,1702249758
298,ola,59.5833,151.2833,-5.5,79,100,8.64,RU,1702249762
299,ji'an,27.1172,114.9793,17.74,94,99,2.36,CN,1702249763
300,caleta de carquin,-11.0925,-77.6267,20.77,81,45,4.62,PE,1702249763
301,vila franca do campo,37.7167,-25.4333,18.27,99,100,3.82,PT,1702249763
302,ballina,-28.8667,153.5667,26.55,54,82,4.13,AU,1702249763
303,yambio,4.5721,28.3955,21.39,71,21,1.94,SS,1702249763
304,chegdomyn,51.1167,133.0167,-30.0,97,74,0.98,RU,1702249764
305,coaldale,49.7167,-112.6185,2.19,69,0,6.56,CA,1702249764
306,severo-yeniseyskiy,60.3725,93.0408,-38.57,100,74,0.45,RU,1702249764
307,badger,64.8,-147.5333,-24.8,69,75,1.54,US,1702249764
308,karratha,-20.7377,116.8463,26.29,19,8,10.02,AU,1702249764
309,port blair,11.6667,92.75,25.02,94,20,1.03,IN,1702249764
310,east ballina,-28.8667,153.5833,26.56,55,82,4.23,AU,1702249765
311,sao joao da barra,-21.6403,-41.0511,23.05,80,41,2.64,BR,1702249765
312,kristiansund,63.1115,7.732,1.36,75,75,2.57,NO,1702249765
313,praia da vitoria,38.7333,-27.0667,17.64,83,100,5.34,PT,1702249765
314,queenstown,-31.8976,26.8753,11.28,91,100,1.16,ZA,1702249765
315,plettenberg bay,-34.0527,23.3716,15.17,88,4,1.12,ZA,1702249765
316,cedeira,43.6797,-8.0209,17.43,75,100,10.96,ES,1702249765
317,igarka,67.4667,86.5833,-30.35,97,100,2.24,RU,1702249766
318,figuig (centre),32.1089,-1.2286,12.68,54,2,1.28,MA,1702249766
